epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,604.82,1.25743,3.29568,1.17283,0.22219,0.12301,0.09595,0.06756,1.16993,3.17203,1.09623,0.000366351,0.000366351,0.000366351
2,1163.05,1.31797,2.74712,1.19796,0.16413,0.21774,0.1047,0.07177,1.23276,3.06917,1.11696,0.000700219,0.000700219,0.000700219
3,1757.45,1.32776,2.59949,1.196,0.20756,0.27618,0.14512,0.09624,1.25422,2.89122,1.16451,0.000997423,0.000997423,0.000997423
4,2335.82,1.34262,2.4733,1.19226,0.23045,0.26988,0.16765,0.11434,1.22869,2.4095,1.12708,0.000946016,0.000946016,0.000946016
5,2929.46,1.30056,2.34449,1.19634,0.30195,0.27816,0.20822,0.14807,1.19101,2.24776,1.12692,0.000891022,0.000891022,0.000891022
6,3518.53,1.28006,2.24481,1.16455,0.32216,0.29532,0.23348,0.16504,1.16949,2.14701,1.0805,0.000836027,0.000836027,0.000836027
7,4175.48,1.2599,2.18542,1.15135,0.30268,0.3159,0.2356,0.16569,1.1407,2.15486,1.08443,0.000781033,0.000781033,0.000781033
8,4724.24,1.25165,2.14229,1.1531,0.35039,0.28362,0.25135,0.18166,1.14086,2.00161,1.07877,0.000726038,0.000726038,0.000726038
9,5258.47,1.25461,2.07447,1.15064,0.30504,0.34138,0.25707,0.18557,1.11515,1.99585,1.07561,0.000671044,0.000671044,0.000671044
10,5846.81,1.21649,2.03378,1.14269,0.34163,0.34035,0.27822,0.20415,1.09489,1.89707,1.06124,0.000616049,0.000616049,0.000616049
11,7583.69,1.12828,1.99995,1.0818,0.37546,0.35203,0.29494,0.21556,1.08352,1.88588,1.04937,0.000561055,0.000561055,0.000561055
12,8780.13,1.1064,1.92426,1.07267,0.37561,0.3437,0.30623,0.22718,1.08348,1.82961,1.03946,0.00050606,0.00050606,0.00050606
13,9389.26,1.08679,1.88472,1.06975,0.43435,0.35116,0.33004,0.25053,1.03772,1.75226,1.02912,0.000451066,0.000451066,0.000451066
14,9980.62,1.08161,1.82164,1.06191,0.44271,0.35431,0.33716,0.25475,1.02598,1.72675,1.02679,0.000396071,0.000396071,0.000396071
15,10555.1,1.07375,1.77655,1.06239,0.43311,0.37659,0.35802,0.27082,1.03121,1.67517,1.02203,0.000341077,0.000341077,0.000341077
16,11149.8,1.05279,1.75332,1.05082,0.44268,0.38488,0.36447,0.27802,1.01098,1.65382,1.02165,0.000286083,0.000286083,0.000286083
17,11769.3,1.0502,1.73502,1.04608,0.45985,0.38546,0.37448,0.28947,0.98738,1.61785,1.01106,0.000231088,0.000231088,0.000231088
18,12386.1,1.01786,1.69546,1.02919,0.47958,0.37575,0.37788,0.29232,0.98087,1.59189,1.00649,0.000176094,0.000176094,0.000176094
19,13043.5,1.02559,1.6486,1.02593,0.52308,0.37414,0.39231,0.30643,0.97004,1.55342,0.99803,0.000121099,0.000121099,0.000121099
20,13587.6,1.00221,1.64468,1.02859,0.52283,0.37597,0.3976,0.31162,0.95963,1.54582,0.99472,6.61045e-05,6.61045e-05,6.61045e-05
