epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,246.878,1.51039,6.36957,1.14438,0.66142,0.12227,0.19218,0.12175,1.46161,3.95695,1.02719,0.000365461,0.000365461,0.000365461
2,390.8,1.47503,5.05311,1.09763,0.39254,0.25214,0.22898,0.13897,1.50538,2.80354,1.07503,0.000721225,0.000721225,0.000721225
3,534.518,1.50447,4.72452,1.16162,0.29105,0.16872,0.1234,0.06456,1.66954,2.70261,1.15751,0.00106232,0.00106232,0.00106232
4,676.305,1.63758,4.71724,1.23542,0.13853,0.1427,0.07058,0.03687,1.7016,2.87033,1.17375,0.00104501,0.00104501,0.00104501
5,817.23,1.6115,4.02187,1.23402,0.24651,0.15031,0.09426,0.04989,1.69033,2.63592,1.21454,0.00102301,0.00102301,0.00102301
6,959.199,1.61379,3.68546,1.23244,0.25183,0.21356,0.16148,0.09188,1.58344,2.35677,1.15364,0.00100101,0.00100101,0.00100101
7,1100.41,1.64747,3.32228,1.24264,0.28477,0.20519,0.15348,0.0859,1.59566,2.33712,1.14103,0.000979013,0.000979013,0.000979013
8,1240.93,1.63822,3.2032,1.24295,0.26052,0.1784,0.10473,0.05689,1.63823,2.7013,1.16891,0.000957015,0.000957015,0.000957015
9,1380.65,1.57107,2.93485,1.19065,0.28513,0.21866,0.16763,0.08799,1.60844,2.28662,1.15705,0.000935018,0.000935018,0.000935018
10,1523.12,1.58625,2.88502,1.21188,0.30667,0.17389,0.14858,0.08046,1.68267,2.43818,1.1986,0.00091302,0.00091302,0.00091302
11,1663.38,1.57101,2.69083,1.18177,0.42895,0.22868,0.22727,0.12626,1.59445,2.1287,1.16709,0.000891022,0.000891022,0.000891022
12,1802.94,1.60406,2.70877,1.2365,0.24876,0.26935,0.14944,0.07877,1.58106,2.24031,1.14198,0.000869024,0.000869024,0.000869024
13,1943.69,1.52602,2.46421,1.17338,0.34755,0.23299,0.19908,0.10218,1.69373,2.17552,1.18398,0.000847026,0.000847026,0.000847026
14,2083.96,1.54052,2.47009,1.18452,0.1872,0.23383,0.12405,0.06906,1.63477,2.37491,1.16943,0.000825029,0.000825029,0.000825029
15,2221.75,1.55335,2.45019,1.1599,0.34134,0.24051,0.21022,0.10719,1.64153,2.31264,1.15991,0.000803031,0.000803031,0.000803031
16,2360.12,1.54536,2.35601,1.16678,0.31507,0.26934,0.22498,0.12396,1.56232,2.1057,1.13406,0.000781033,0.000781033,0.000781033
17,2497.3,1.49923,2.2406,1.14937,0.32532,0.25349,0.21068,0.11007,1.63896,2.16855,1.16258,0.000759035,0.000759035,0.000759035
18,2635.01,1.55702,2.30244,1.19772,0.42463,0.24436,0.25182,0.12949,1.61475,2.07526,1.1526,0.000737037,0.000737037,0.000737037
19,2772.5,1.53374,2.23432,1.17075,0.34261,0.27575,0.24236,0.12325,1.68185,2.05027,1.15747,0.00071504,0.00071504,0.00071504
20,2911.01,1.4904,2.01383,1.14143,0.54158,0.25526,0.29149,0.15953,1.58848,1.8569,1.13874,0.000693042,0.000693042,0.000693042
21,3050.75,1.47919,2.04405,1.15014,0.42367,0.27579,0.27144,0.1461,1.60841,2.04545,1.15727,0.000671044,0.000671044,0.000671044
22,3189.36,1.48593,1.94008,1.14991,0.53352,0.29255,0.32074,0.1719,1.59193,1.82163,1.14441,0.000649046,0.000649046,0.000649046
23,3329.29,1.47393,1.92221,1.15673,0.44502,0.31023,0.31226,0.18126,1.51718,1.79151,1.1063,0.000627048,0.000627048,0.000627048
24,3468.48,1.49952,1.91906,1.15319,0.4779,0.3005,0.29535,0.16125,1.58986,1.81217,1.11905,0.000605051,0.000605051,0.000605051
25,3609.63,1.41509,1.85417,1.12492,0.50057,0.30344,0.31556,0.16946,1.62552,1.83486,1.13369,0.000583053,0.000583053,0.000583053
26,3747.01,1.40769,1.79275,1.11305,0.53797,0.30651,0.34184,0.20021,1.46935,1.60637,1.07501,0.000561055,0.000561055,0.000561055
27,3884.95,1.42551,1.71733,1.10893,0.523,0.3252,0.34832,0.18586,1.57141,1.6482,1.10417,0.000539057,0.000539057,0.000539057
28,4023.46,1.41132,1.64763,1.09132,0.57208,0.33666,0.37824,0.21349,1.53974,1.56715,1.08779,0.000517059,0.000517059,0.000517059
29,4166.7,1.36954,1.61676,1.09629,0.49726,0.36749,0.37624,0.20504,1.51054,1.58521,1.08368,0.000495062,0.000495062,0.000495062
30,4308.52,1.38843,1.62533,1.1034,0.52628,0.36269,0.38349,0.20937,1.54554,1.53784,1.10007,0.000473064,0.000473064,0.000473064
